Galaxy Name, Diameter ("), Radius ("), Galaxy Type
NGC 300,1800,900,Spiral
M 99,360,180,Spiral
NGC 3938,324,162,Spiral
NGC 3184,510,255,Spiral
M 100,528,264,Spiral
M 74,720,360,Spiral
NGC 1304,79.1,39.55,Elliptical
NGC 3265,77.3,38.65,Elliptical
NGC 855,198,99,Elliptical
NGC 1404,776.25,388.125,Elliptical
NGC 584,250.1,125.05,Elliptical
NGC 5866,390,195,Elliptical
